Secs,Watts
1,543
2,542
3,534
4,531
5,523
6,520
7,520
8,514
9,509
10,505
11,501
12,497
13,497
14,498
15,496
16,491
17,489
18,483
19,481
20,481
21,481
22,481
23,480
24,480
25,480
26,480
28,480
29,480
30,474
32,459
34,443
35,438
37,424
39,412
40,406
41,401
43,401
45,401
47,401
50,401
52,391
55,377
57,368
60,355
63,344
66,334
70,322
73,319
77,319
81,319
85,319
89,319
93,319
98,319
103,319
108,319
114,319
119,319
120,319
125,316
132,309
138,304
145,297
152,291
160,289
168,289
176,289
180,289
185,285
194,277
204,275
214,275
225,275
236,275
240,275
248,275
260,275
273,275
287,275
300,275
301,275
316,268
332,260
349,253
360,248
366,246
385,245
404,245
420,245
424,244
445,238
468,235
480,235
491,235
516,235
540,235
541,235
568,235
597,235
600,235
627,235
658,235
691,235
725,235
762,235
800,236
840,236
882,237
900,237
926,234
972,232
1021,231
1072,229
1125,228
1182,227
1200,226
1241,225
1303,224
1368,223
1436,222
1508,222
1583,221
1663,221
1746,220
1800,220
1833,220
1925,219
2021,218
2122,217
2228,216
2339,216
2400,215
2456,215
2579,215
2700,215
2708,215
2844,215
2986,214
3135,213
3292,213
3456,212
3600,212
3629,212
3811,212
4001,212
4201,211
4411,211
4632,211
4863,211
5107,210
5362,210
5630,208
5911,206
6207,202
