Secs,Watts
1,543
2,542
3,534
4,531
5,523
6,520
7,520
8,514
9,509
10,505
11,501
12,497
13,497
14,498
15,496
16,491
17,489
18,483
19,481
20,481
21,481
22,481
23,480
24,480
25,480
26,480
28,480
29,480
30,474
32,459
34,443
35,438
37,424
39,412
40,406
41,401
43,401
45,401
47,401
50,401
52,391
55,377
57,373
60,373
63,373
66,373
70,373
73,373
77,373
81,372
85,366
89,355
93,347
98,338
103,330
108,323
114,319
119,319
120,319
125,316
132,309
138,304
145,302
152,302
160,302
168,302
176,302
180,302
185,302
194,301
204,301
214,298
225,289
236,283
240,281
248,278
260,275
273,275
287,275
300,275
301,275
316,268
332,260
349,255
360,254
366,253
385,250
404,248
420,246
424,245
445,243
468,241
480,240
491,240
516,240
540,240
541,240
568,240
597,240
600,240
627,240
658,240
691,240
725,240
762,240
800,240
840,240
882,240
900,240
926,239
972,237
1021,236
1072,234
1125,233
1182,231
1200,231
1241,230
1303,229
1368,228
1436,227
1508,227
1583,226
1663,226
1746,226
1800,226
1833,225
1925,225
2021,224
2122,224
2228,223
2339,222
2400,222
2456,222
2579,222
2700,222
2708,222
2844,222
2986,221
3135,221
3292,220
3456,220
3600,220
3629,220
3811,220
4001,220
4201,219
4411,216
4632,214
4863,212
5107,210
5362,210
5630,208
5911,206
6207,202
