Secs,Watts
1,360
2,360
3,356
4,352
5,346
6,340
7,336
8,333
9,331
10,330
11,328
12,327
13,326
14,326
15,325
16,325
17,324
18,324
19,323
20,323
21,322
22,322
23,321
24,320
25,320
26,319
28,318
29,317
30,317
32,316
34,315
35,315
37,314
39,314
40,313
41,313
43,313
45,313
47,313
50,312
52,312
55,311
57,310
60,309
63,308
66,306
70,304
73,302
77,300
81,298
85,298
89,298
93,298
98,297
103,296
108,296
114,296
119,295
120,295
125,294
132,290
138,284
145,276
152,267
160,263
168,264
176,266
180,267
185,268
194,269
204,270
214,268
225,266
236,264
240,263
248,262
260,263
273,262
287,262
300,260
301,260
316,258
332,257
349,256
360,258
366,259
385,258
404,257
420,256
424,256
445,256
468,255
480,254
491,253
516,252
540,251
541,251
568,251
597,250
600,250
627,249
658,249
691,248
725,248
762,248
800,248
840,245
882,244
900,243
926,243
972,241
1021,240
1072,240
1125,240
1182,240
1200,240
1241,240
1303,240
1368,239
1436,239
1508,239
1583,239
1663,239
1746,239
1800,239
1833,239
1925,239
2021,238
2122,238
2228,238
2339,237
2400,237
2456,237
2579,237
2700,237
2708,233
2844,233
2986,233
3135,232
3292,231
