Secs,Watts
1,363
2,361
3,360
4,360
5,359
6,358
7,357
8,356
9,355
10,354
11,353
12,352
13,352
14,351
15,350
16,349
17,349
18,349
19,349
20,349
21,349
22,349
23,349
24,348
25,348
26,347
28,346
29,346
30,346
32,344
34,343
35,342
37,340
39,338
40,338
41,337
43,335
45,335
47,334
50,332
52,331
55,330
57,329
60,327
63,326
66,324
70,321
73,319
77,316
81,313
85,311
89,310
93,310
98,310
103,310
108,309
114,309
119,309
120,309
125,309
132,309
138,309
145,308
152,308
160,308
168,308
176,308
180,308
185,306
194,301
204,292
214,283
225,280
236,279
240,278
248,276
260,275
273,276
287,275
300,274
301,274
316,274
332,274
349,275
360,274
366,274
385,274
404,273
420,273
424,273
445,273
468,273
480,273
491,272
516,269
540,268
541,268
568,266
597,265
600,265
627,265
658,265
691,265
725,265
762,263
800,263
840,262
882,261
900,261
926,260
972,259
1021,258
1072,257
1125,257
1182,256
1200,256
1241,255
1303,256
1368,255
1436,254
1508,254
1583,253
1663,252
1746,251
1800,251
1833,251
1925,251
2021,251
2122,251
2228,250
2339,250
2400,249
2456,249
2579,249
2700,249
2708,249
2844,248
2986,247
3135,246
3292,245
3456,242
3600,242
3629,242
3811,242
4001,242
4201,241
4411,231
4632,229
