Secs,Watts
1,713
2,699
3,692
4,687
5,688
6,690
7,687
8,682
9,674
10,669
11,618
12,611
13,609
14,607
15,603
16,600
17,596
18,592
19,583
20,574
21,555
22,545
23,528
24,511
25,496
26,483
28,475
29,475
30,475
32,475
34,475
35,475
37,475
39,474
40,468
41,460
43,446
45,437
47,437
50,437
52,437
55,437
57,437
60,435
63,423
66,409
70,393
73,387
77,387
81,387
85,387
89,386
93,380
98,367
103,357
108,357
114,357
119,357
120,357
125,356
132,356
138,355
145,355
152,355
160,354
168,353
176,351
180,350
185,344
194,334
204,324
214,319
225,318
236,318
240,318
248,317
260,317
273,316
287,315
300,315
301,315
316,314
332,314
349,314
360,313
366,310
385,301
404,294
420,288
424,286
445,281
468,281
480,280
491,280
516,279
540,279
541,279
568,279
597,278
600,278
627,271
658,264
691,258
725,257
762,257
800,253
840,247
882,247
900,247
926,247
972,242
1021,238
1072,234
1125,236
1182,234
1200,234
1241,235
1303,234
1368,235
1436,233
1508,231
1583,231
1663,230
1746,230
1800,230
1833,230
1925,230
2021,232
2122,228
2228,219
2339,218
2400,218
2456,218
2579,216
2700,215
2708,215
2844,215
2986,215
3135,214
3292,210
3456,210
3600,210
3629,210
3811,210
4001,209
4201,207
4411,204
4632,199
4863,198
5107,198
5362,198
5630,197
5911,197
6207,196
6517,196
6843,192
7185,192
7545,192
7922,192
8318,192
8734,191
9171,194
